age,worker,size,compartment,deposition.fraction
5y,FALSE,0.001,BBseq,0.0004843
5y,FALSE,0.003,BBseq,0.0008519
5y,FALSE,0.01,BBseq,0.0006066
5y,FALSE,0.03,BBseq,0.0002388
5y,FALSE,0.1,BBseq,0.0001095
5y,FALSE,0.3,BBseq,6.315e-05
5y,FALSE,1,BBseq,7.245e-05
5y,FALSE,3,BBseq,9.604e-05
5y,FALSE,5,BBseq,9.058e-05
5y,FALSE,10,BBseq,6.504e-05
5y,FALSE,0.001,ET2,0.4479
5y,FALSE,0.003,ET2,0.364
5y,FALSE,0.01,ET2,0.1869
5y,FALSE,0.03,ET2,0.07452
5y,FALSE,0.1,ET2,0.03424
5y,FALSE,0.3,ET2,0.06428
5y,FALSE,1,ET2,0.2231
5y,FALSE,3,ET2,0.3787
5y,FALSE,5,ET2,0.4045
5y,FALSE,10,ET2,0.3859
5y,FALSE,0.001,ETseq,0.0002241
5y,FALSE,0.003,ETseq,0.0001821
5y,FALSE,0.01,ETseq,9.35e-05
5y,FALSE,0.03,ETseq,3.728e-05
5y,FALSE,0.1,ETseq,1.713e-05
5y,FALSE,0.3,ETseq,3.216e-05
5y,FALSE,1,ETseq,0.0001116
5y,FALSE,3,ETseq,0.0001895
5y,FALSE,5,ETseq,0.0002024
5y,FALSE,10,ETseq,0.0001931
5y,FALSE,0.001,ET1,0.4542
5y,FALSE,0.003,ET1,0.3498
5y,FALSE,0.01,ET1,0.1663
5y,FALSE,0.03,ET1,0.06651
5y,FALSE,0.1,ET1,0.03254
5y,FALSE,0.3,ET1,0.05668
5y,FALSE,1,ET1,0.1739
5y,FALSE,3,ET1,0.3084
5y,FALSE,5,ET1,0.3451
5y,FALSE,10,ET1,0.3509
1y,FALSE,0.001,AI1,3.396e-06
1y,FALSE,0.003,AI1,0.0009699
1y,FALSE,0.01,AI1,0.04035
1y,FALSE,0.03,AI1,0.1243
1y,FALSE,0.1,AI1,0.09516
1y,FALSE,0.3,AI1,0.05124
1y,FALSE,1,AI1,0.02891
1y,FALSE,3,AI1,0.01594
1y,FALSE,5,AI1,0.009987
1y,FALSE,10,AI1,0.003987
1y,FALSE,0.001,AI2,6.792e-06
1y,FALSE,0.003,AI2,0.00194
1y,FALSE,0.01,AI2,0.0807
1y,FALSE,0.03,AI2,0.2485
1y,FALSE,0.1,AI2,0.1903
1y,FALSE,0.3,AI2,0.1025
1y,FALSE,1,AI2,0.05782
1y,FALSE,3,AI2,0.03188
1y,FALSE,5,AI2,0.01997
1y,FALSE,10,AI2,0.007974
1y,FALSE,0.001,AI3,1.132e-06
1y,FALSE,0.003,AI3,0.0003233
1y,FALSE,0.01,AI3,0.01345
1y,FALSE,0.03,AI3,0.04142
1y,FALSE,0.1,AI3,0.03172
1y,FALSE,0.3,AI3,0.01708
1y,FALSE,1,AI3,0.009636
1y,FALSE,3,AI3,0.005314
1y,FALSE,5,AI3,0.003329
1y,FALSE,10,AI3,0.001329
1y,FALSE,0.001,bb1,0.006222
1y,FALSE,0.003,bb1,0.05122
1y,FALSE,0.01,bb1,0.1427
1y,FALSE,0.03,bb1,0.09377
1y,FALSE,0.1,bb1,0.04489
1y,FALSE,0.3,bb1,0.02095
1y,FALSE,1,bb1,0.008488
1y,FALSE,3,bb1,0.004541
1y,FALSE,5,bb1,0.003359
1y,FALSE,10,bb1,0.001855
1y,FALSE,0.001,bb2,0.00631
1y,FALSE,0.003,bb2,0.05195
1y,FALSE,0.01,bb2,0.1447
1y,FALSE,0.03,bb2,0.0951
1y,FALSE,0.1,bb2,0.04553
1y,FALSE,0.3,bb2,0.02125
1y,FALSE,1,bb2,0.008462
1y,FALSE,3,bb2,0.003906
1y,FALSE,5,bb2,0.002497
1y,FALSE,10,bb2,0.00106
1y,FALSE,0.001,bbseq,8.834e-05
1y,FALSE,0.003,bbseq,0.0007273
1y,FALSE,0.01,bbseq,0.002026
1y,FALSE,0.03,bbseq,0.001331
1y,FALSE,0.1,bbseq,0.0006374
1y,FALSE,0.3,bbseq,0.0002975
